,start_pdb_file,N,J,cif_0,ref_0,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str,init_weights
0,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
1,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,1000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
2,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,10000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
3,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,20000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
4,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,30000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
5,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,40000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
6,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,50000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
7,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,60000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
8,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,70000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
9,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n_er_state.pdb,2,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0n.pdb,80000,1,0,1,1,"s5000,t1000,dA,p1,w0,r0",uni
